Latitude,Longitude,Casos,Fecha,CCAA
42.2814642,-2.482804975,1,30,La Rioja
35.89442195,-5.355817352,0,30,Ceuta
35.29291145,-2.950720236,0,30,Melilla
37.3399964,-4.5811614,0,31,Andalucía
41.3787291,-0.7639373,0,31,Aragón
43.3133868,-5.94192,0,31,Asturias
39.613432,2.882918453,0,31,Baleares
28.2935785,-16.62144712,1,31,Canarias
43.1595664,-4.0878382,0,31,Cantabria
41.8037172,-4.7471726,0,31,Castilla y León
39.4177902,-2.6232332,0,31,Castilla La Mancha
41.8523094,1.5745043,1,31,Cataluña
39.6819591,-0.7654406,0,31,C. Valenciana
39.1748426,-6.1529891,0,31,Extremadura
42.61946,-7.863112,1,31,Galicia
40.4167047,-3.7035825,1,31,Madrid
37.9923795,-1.1305431,1,31,Murcia
42.61254875,-1.830787673,0,31,Navarra
42.9911816,-2.5543023,0,31,País Vasco
42.2814642,-2.482804975,1,31,La Rioja
35.89442195,-5.355817352,0,31,Ceuta
35.29291145,-2.950720236,0,31,Melilla
37.3399964,-4.5811614,0,32,Andalucía
41.3787291,-0.7639373,0,32,Aragón
43.3133868,-5.94192,0,32,Asturias
39.613432,2.882918453,0,32,Baleares
28.2935785,-16.62144712,1,32,Canarias
43.1595664,-4.0878382,0,32,Cantabria
